state,statefp,cd113fp,zip5
AL,01,01,36640
AL,01,01,36641
AL,01,01,36644
AL,01,01,36652
AL,01,01,36660
AL,01,01,36663
AL,01,01,36670
AL,01,01,36671
AL,01,01,36675
AL,01,01,36685
AL,01,01,36688
AL,01,01,36689
AL,01,01,36690
AL,01,01,36691
AL,01,01,36693
AL,01,01,36695
AL,01,02,36009
AL,01,02,36010
AL,01,02,36015
AL,01,02,36016
AL,01,02,36017
AL,01,02,36020
AL,01,02,36022
AL,01,02,36024
AL,01,02,36025
AL,01,02,36027
AL,01,02,36028
AL,01,02,36029
AL,01,02,36030
AL,01,02,36033
AL,01,02,36034
AL,01,02,36035
AL,01,02,36036
AL,01,02,36037
AL,01,02,36038
AL,01,02,36041
AL,01,02,36042
AL,01,02,36045
AL,01,02,36046
AL,01,02,36048
AL,01,02,36049
AL,01,02,36051
AL,01,02,36052
AL,01,02,36053
AL,01,02,36054
AL,01,02,36061
AL,01,02,36062
AL,01,02,36065
AL,01,02,36066
AL,01,02,36067
AL,01,02,36068
AL,01,02,36069
AL,01,02,36071
AL,01,02,36072
AL,01,02,36078
AL,01,02,36079
AL,01,02,36080
AL,01,02,36081
AL,01,02,36082
AL,01,02,36089
AL,01,02,36092
AL,01,02,36093
AL,01,02,36101
AL,01,02,36104
AL,01,02,36106
AL,01,02,36107
AL,01,02,36109
AL,01,02,36110
AL,01,02,36111
AL,01,02,36112
AL,01,02,36113
AL,01,02,36114
AL,01,02,36115
AL,01,02,36117
AL,01,02,36123
AL,01,02,36130
AL,01,02,36177
AL,01,02,36191
AL,01,02,36303
AL,01,02,36304
AL,01,02,36305
AL,01,02,36310
AL,01,02,36311
AL,01,02,36312
AL,01,02,36313
AL,01,02,36314
AL,01,02,36316
AL,01,02,36317
AL,01,02,36318
AL,01,02,36319
AL,01,02,36320
AL,01,02,36321
AL,01,02,36322
AL,01,02,36323
AL,01,02,36330
AL,01,02,36331
AL,01,02,36340
AL,01,02,36343
AL,01,02,36344
AL,01,02,36345
AL,01,02,36346
AL,01,02,36349
AL,01,02,36350
AL,01,02,36351
AL,01,02,36352
AL,01,02,36353
AL,01,02,36360
AL,01,02,36361
AL,01,02,36302
AL,01,02,36373
AL,01,02,36374
AL,01,02,36375
AL,01,02,36376
AL,01,02,36401
AL,01,02,36362
AL,01,02,36371
AL,01,02,36420
AL,01,02,36421
AL,01,02,36370
AL,01,02,36429
AL,01,02,36432
AL,01,02,36005
AL,01,02,36442
AL,01,02,36006
AL,01,02,36301
AL,01,02,36008
AL,01,02,36454
AL,01,02,36455
AL,01,02,36456
AL,01,02,36003
AL,01,02,36453
AL,01,02,36467
AL,01,02,36473
AL,01,02,36474
AL,01,02,36475
